Tag,Species,census_range,n_censuses,K,max_obs,max_states_per_census,total_states,estimated_edges_unpruned,estimated_edges_pruned,estimated_fallback,fallback_reason,predicted_seconds,predicted_hours
282029,all_trees_shrubs,"2,3,4,5,6,7",6,7,4,840,2982,1102500,,FALSE,,1867.56310921666,0.518767530337961
140674,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2760,1094400,,FALSE,,1845.13966181183,0.512538794947731
056114,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2316,1083780,,FALSE,,1815.91879888094,0.50442188857804
148436,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2280,1061100,,FALSE,,1754.19510843221,0.487276419008946
151612,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2232,1059516,,FALSE,,1749.91890856909,0.486088585713637
421186,hybapr,"3,4,5,6,7",5,6,5,720,2190,1047600,,FALSE,,1717.89550307641,0.477193195299002
227050,hybapr,"1,2,3,4,5,6,7",7,6,5,720,2184,1041228,,FALSE,,1700.87652879565,0.472465702443237
153156,faraoc,"1,2,3,4,5,6,7",7,6,5,720,2178,1039032,,FALSE,,1695.02825244511,0.470841181234754
131400,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2880,1036800,,FALSE,,1689.09304682113,0.469192513005869
147452,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2880,1036800,,FALSE,,1689.09304682113,0.469192513005869
096113,cappfr,"1,2,3,4,5,6,7",7,6,5,720,2406,1010160,,FALSE,,1618.9504498437,0.449708458289916
211766,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2340,998100,,FALSE,,1587.62034896445,0.441005652490126
198780,stylst,"1,2,3,4,5,6,7",7,6,5,720,2340,975600,,FALSE,,1529.8763628521,0.424965656347806
208138,hybapr,"1,2,3,4,5,6,7",7,7,4,840,2359,971670,,FALSE,,1519.88510714267,0.422190307539631
120605,hybapr,"1,2,3,4,5,6,7",7,6,5,720,2430,968400,,FALSE,,1511.59326516452,0.419887018101255
109356,hybapr,"1,2,3,4,5,6,7",7,6,5,720,2340,954900,,FALSE,,1477.56775945072,0.410435488736312
255245,des2pa,"1,2,3,4,5,6,7",7,6,5,720,2340,954900,,FALSE,,1477.56775945072,0.410435488736312
260328,chr1ec,"1,2,3,4,5,6,7",7,7,4,840,2394,945504,,FALSE,,1454.08282444815,0.403911895680042
050016,faraoc,"1,2,3,4,5,6,7",7,7,4,840,2394,943740,,FALSE,,1449.69180671452,0.40269216853181
015722,olmeas,"1,2,3,4,5,6,7",7,7,4,840,2226,938448,,FALSE,,1436.55298188969,0.399042494969358
109900,hybapr,"1,2,3,4,5,6,7",7,7,4,840,2226,936684,,FALSE,,1432.18478793056,0.397829107758489
