"Tag","CensusID","ExactDate","DBH","ListOfTSM","Species"
"036693",1,1981-05-10,5,NA,"termam"
"036693",1,1981-05-10,2.5,NA,"termam"
"036693",2,1985-07-14,6.2,NA,"termam"
"036693",2,1985-07-14,3,NA,"termam"
"036693",3,1990-10-19,6.7,"M","termam"
"036693",3,1990-10-19,5.5,NA,"termam"
"036693",4,1995-08-17,6.8,"M","termam"
"036693",4,1995-08-17,6.6,NA,"termam"
"036693",5,2000-08-16,7.5,"M","termam"
"036693",5,2000-08-16,7,NA,"termam"
"036693",6,2005-09-06,7.4,NA,"termam"
"036693",7,2010-08-11,7.7,NA,"termam"
"036693",8,2015-10-29,NA,"D","termam"
"036693",9,2023-05-12,NA,"D","termam"
"058814",1,1981-06-19,1.5,NA,"hassfl"
"058814",2,1985-07-23,1.5,NA,"hassfl"
"058814",3,1990-12-11,2,NA,"hassfl"
"058814",4,1995-08-31,2.3,NA,"hassfl"
"058814",5,2000-08-15,2.4,NA,"hassfl"
"058814",6,2005-09-07,2.6,NA,"hassfl"
"058814",7,2010-09-07,2.7,NA,"hassfl"
"058814",8,2015-10-26,2.7,"M","hassfl"
"058814",8,2015-10-26,1.1,NA,"hassfl"
"058814",9,2023-04-26,NA,"R;M","hassfl"
"058814",9,2023-04-26,1.2,NA,"hassfl"
"058814",9,2023-04-26,1.2,NA,"hassfl"
"072197",1,1981-07-13,1.5,"L","des2pa"
"072197",2,1985-06-28,1.5,NA,"des2pa"
"072197",3,1990-10-25,1.7,"L;M","des2pa"
"072197",3,1990-10-25,1,NA,"des2pa"
"072197",4,1995-07-17,1.6,"L;M","des2pa"
"072197",4,1995-07-17,1.6,NA,"des2pa"
"072197",5,2000-07-04,2,"M","des2pa"
"072197",5,2000-07-04,1.7,NA,"des2pa"
"072197",6,2005-08-16,3.1,"M","des2pa"
"072197",6,2005-08-16,1.7,NA,"des2pa"
"072197",7,2010-07-07,3.1,NA,"des2pa"
"072197",7,2010-07-07,1.8,NA,"des2pa"
"072197",8,2015-09-29,3.1,NA,"des2pa"
"072197",8,2015-09-29,1.8,"L","des2pa"
"072197",9,2023-03-30,3.1,NA,"des2pa"
"072197",9,2023-03-30,1.7,"L","des2pa"
"080416",1,1981-07-09,1.5,NA,"hybapr"
"080416",1,1981-07-09,1.5,NA,"hybapr"
"080416",1,1981-07-09,1,NA,"hybapr"
"080416",2,1985-06-01,1.5,NA,"hybapr"
"080416",2,1985-06-01,1.5,NA,"hybapr"
"080416",2,1985-06-01,1,NA,"hybapr"
"080416",3,1990-09-14,1.6,"M","hybapr"
