"Tag","CensusID","ExactDate","DBH","ListOfTSM","Species"
"080416",3,1990-09-14,1.2,NA,"hybapr"
"080416",4,1995-06-23,1.6,"M","hybapr"
"080416",4,1995-06-23,1.2,NA,"hybapr"
"080416",5,2000-06-09,NA,"D;S","hybapr"
"111946",1,1981-11-04,2,NA,"hybapr"
"111946",2,1985-05-17,2,NA,"hybapr"
"111946",3,1990-08-31,2.4,NA,"hybapr"
"111946",4,1995-05-25,2.6,"L","hybapr"
"111946",5,2000-05-18,2.6,"L","hybapr"
"111946",6,2005-06-16,2.5,"L;M","hybapr"
"111946",6,2005-06-16,1.4,NA,"hybapr"
"111946",6,2005-06-16,1.3,NA,"hybapr"
"111946",7,2010-05-19,2.6,"L","hybapr"
"111946",7,2010-05-19,1.5,NA,"hybapr"
"111946",7,2010-05-19,1.4,NA,"hybapr"
"111946",8,2015-08-11,2.6,"L","hybapr"
"111946",8,2015-08-11,1.6,NA,"hybapr"
"111946",8,2015-08-11,NA,"Ss","hybapr"
"111946",9,2022-12-12,NA,"D","hybapr"
"111946",9,2022-12-12,NA,"D","hybapr"
"111946",9,2022-12-12,NA,"Ns","hybapr"
"124504",1,1983-05-10,1,"Nt","acaldi"
"124504",2,1985-08-23,2.5,NA,"acaldi"
"124504",3,1990-12-11,2.9,"M","acaldi"
"124504",3,1990-12-11,1.9,NA,"acaldi"
"124504",4,1995-08-22,1.8,"R","acaldi"
"124504",5,2000-07-28,NA,"R","acaldi"
"124504",6,2005-08-12,NA,"OR","acaldi"
"124504",7,2010-09-07,NA,"OR","acaldi"
"124504",8,2015-10-08,NA,"OR","acaldi"
"124504",9,2023-05-03,NA,"D","acaldi"
"151735",1,1982-02-21,1,"Re","all_trees_shrubs"
"151735",1,1982-02-21,1,NA,"all_trees_shrubs"
"151735",1,1982-02-21,1,NA,"all_trees_shrubs"
"151735",2,1985-04-03,NA,"D;MF","all_trees_shrubs"
"216728",1,1982-06-10,1.5,NA,"hybapr"
"216728",2,1985-02-21,1.5,NA,"hybapr"
"216728",3,1990-03-06,1.7,"M","hybapr"
"216728",3,1990-03-06,1,NA,"hybapr"
"216728",4,1995-01-25,1.8,"M","hybapr"
"216728",4,1995-01-25,1.2,NA,"hybapr"
"216728",5,2000-02-07,2,"M","hybapr"
"216728",5,2000-02-07,1.5,NA,"hybapr"
"216728",6,2005-03-17,NA,"D;T","hybapr"
"216728",7,2010-02-09,NA,"D;N","hybapr"
"442482",3,1990-11-09,1.5,"M","hybapr"
"442482",3,1990-11-09,1.1,NA,"hybapr"
"442482",4,1995-08-15,1.6,"M","hybapr"
"442482",4,1995-08-15,1.3,NA,"hybapr"
"442482",5,2000-08-18,2,"M","hybapr"
"442482",5,2000-08-18,1.5,NA,"hybapr"
"442482",5,2000-08-18,1.5,NA,"hybapr"
"442482",6,2005-09-02,2,"M","hybapr"
"442482",6,2005-09-02,1.7,NA,"hybapr"
"442482",6,2005-09-02,1.5,NA,"hybapr"
"442482",6,2005-09-02,1.1,NA,"hybapr"
"442482",6,2005-09-02,1.1,NA,"hybapr"
"442482",7,2010-08-19,2,NA,"hybapr"
"442482",7,2010-08-19,1.9,NA,"hybapr"
"442482",7,2010-08-19,1.3,NA,"hybapr"
"442482",7,2010-08-19,1.2,NA,"hybapr"
"442482",8,2015-10-13,1.8,NA,"hybapr"
"442482",8,2015-10-13,2.8,NA,"hybapr"
"442482",8,2015-10-13,1.3,NA,"hybapr"
"442482",8,2015-10-13,1.4,NA,"hybapr"
"442482",9,2023-05-10,NA,"Cs","hybapr"
"442482",9,2023-05-10,NA,"D","hybapr"
"442482",9,2023-05-10,NA,"Ss","hybapr"
"442482",9,2023-05-10,NA,"Ss","hybapr"
"628305",5,2000-05-03,1.1,NA,"cou2cu"
"628305",6,2005-05-30,1.5,NA,"cou2cu"
"628305",7,2010-05-24,2.1,NA,"cou2cu"
"628305",8,2015-07-22,2.4,NA,"cou2cu"
"628305",9,2022-11-17,2.4,"L;M","cou2cu"
"628305",9,2022-11-17,1.3,NA,"cou2cu"
